"bahasa","daerah"
"http://id.dbpedia.org/resource/Bahasa_Kerinci","Di sekitar wilayah Sungai Penuh dan Kabupaten Kerinci"
"http://id.dbpedia.org/resource/Bahasa_Kubu","Jambi, Riau, dan Sumatera Selatan"
"http://id.dbpedia.org/resource/Bahasa_Pekal","Provinsi Bengkulu; dekat perbatasan Jambi dan Sumatera Selatan"
"http://id.dbpedia.org/resource/Bahasa_Musi","Hulu sungai Musi hingga pegunungan bukit Barisan, hilir sungai hingga wilayah berawa di pesisir timur"
"http://id.dbpedia.org/resource/Bahasa_Lubu","Sumatera Utara bagian selatan"
"http://id.dbpedia.org/resource/Bahasa_Baduy","http://id.dbpedia.org/resource/Kabupaten_Pandeglang"
"http://id.dbpedia.org/resource/Bahasa_Baduy","http://id.dbpedia.org/resource/Rangkasbitung,_Lebak"
"http://id.dbpedia.org/resource/Bahasa_Baduy","http://id.dbpedia.org/resource/Kabupaten_Sukabumi"
"http://id.dbpedia.org/resource/Bahasa_Baduy","http://id.dbpedia.org/resource/Gunung_Kendeng"
"http://id.dbpedia.org/resource/Bahasa_Melayu_Larantuka","Pulau Flores dan Adonara"
"http://id.dbpedia.org/resource/Bahasa_Mualang","http://id.dbpedia.org/resource/Kalimantan_Barat"
"http://id.dbpedia.org/resource/Bahasa_Seberuang","http://id.dbpedia.org/resource/Kalimantan_Barat"
"http://id.dbpedia.org/resource/Bahasa_Keninjal","Sungai Sayan dan Melawi, area Nangapinoh, Nangaella, Nangasayan, Gelalak"
"http://id.dbpedia.org/resource/Bahasa_Dusun_Malang","http://id.dbpedia.org/resource/Kalimantan_Tengah"
"http://id.dbpedia.org/resource/Bahasa_Dusun_Malang","http://id.dbpedia.org/resource/Kabupaten_Barito_Utara"
"http://id.dbpedia.org/resource/Bahasa_Dusun_Witu","Barito Utara dan Barito Selatan, Kalimantan Tengah"
"http://id.dbpedia.org/resource/Bahasa_Kohin","Seruyan dan wilayah Sungai Seruyan bagian tengah dan utara, Kalimantan Tengah"
"http://id.dbpedia.org/resource/Bahasa_Ot_Danum","Sungai Borneo bagian atas, area luas bagian selatan dari Pegunungan Schwaner, Sungai Mandai di Ulu Ai' dengan 7 desa."
"http://id.dbpedia.org/resource/Bahasa_Siang","http://id.dbpedia.org/resource/Kalimantan_Tengah"
"http://id.dbpedia.org/resource/Bahasa_Siang","http://id.dbpedia.org/resource/Kabupaten_Murung_Raya"
"http://id.dbpedia.org/resource/Bahasa_Tunjung","http://id.dbpedia.org/resource/Kabupaten_Kutai_Kartanegara"
"http://id.dbpedia.org/resource/Bahasa_Tunjung","http://id.dbpedia.org/resource/Kalimantan_Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Busang","Sungai Mahakam atas, Oga, Belayan, Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Wahau","http://id.dbpedia.org/resource/Kalimantan_Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Wahau","http://id.dbpedia.org/resource/Muara_Wahau,_Kutai_Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Mahakam","Malinau dan Kutai Barat, Kalimantan Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Sungai_Kayan","http://id.dbpedia.org/resource/Kalimantan_Timur"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Sungai_Kayan","http://id.dbpedia.org/resource/Sungai_Kayan"
"http://id.dbpedia.org/resource/Bahasa_Kayan_Sungai_Kayan","http://id.dbpedia.org/resource/Malinau"
"http://id.dbpedia.org/resource/Bahasa_Segai","Sepanjang Sungai Kelay dan Long Laai, Berau, Kalimantan Timur"
